title,Release_date,Running_time,Country,Box office,Directed by,Produced by,Written by,imdb,metascore,rotten_tomatoes,Awards
The Man from Snowy River II,1988-03-24,110,Australia,,Geoff Burrowes,Geoff Burrowes,"['Written by', 'Banjo Paterson', '(poem)', 'Geoff Burrowes', '(story)', 'John Dixon']",,,,
Oliver & Company,1988-11-18,74,United States,"$74,151,346",George Scribner,,,6.7,58,50%,Nominated for 1 Golden Globe. Another 1 win & 1 nomination.
"Honey, I Shrunk the Kids",1989-06-23,93,United States,"$130,724,172",Joe Johnston,Penney Finkelman Cox,,6.4,63,77%,Won 1 BAFTA Film Award. Another 1 win & 10 nominations.
Cheetah,1989-08-18,84,United States,"$8,153,677",Jeff Blyth,"['Produced by', 'Roy E. Disney', 'Robert Halmi, Sr.']",,6.1,N/A,50%,1 nomination.
The Little Mermaid,1989-11-17,83,United States,"$111,543,479","['Ron Clements', 'John Musker']","['John Musker', 'Howard Ashman']","['Ron Clements', 'John Musker']",7.6,88,93%,Won 2 Oscars. Another 10 wins & 8 nominations.
DuckTales the Movie: Treasure of the Lost Lamp,1990-08-03,74,United States,"$18,115,724",Bob Hathcock,"['Bob Hathcock', 'Jean-Pierre Quenet']",,6.9,N/A,88%,1 nomination.
The Rescuers Down Under,1990-11-16,77,United States,"$27,931,461","['Hendel Butoy', 'Mike Gabriel']",Thomas Schumacher,,6.9,70,70%,6 wins.
White Fang,1991-01-18,107,United States,"$34,793,160",Randal Kleiser,Markay Powell,,6.7,62,65%,1 win.
Shipwrecked,1990-10-03,93,,"$15,104,156",Nils Gaup,"['Produced by', 'John M. Jacobsen', 'Nigel Wooll']","['Written by', 'O.V. Falck-Ytter', '(novel)', 'Nils Gaup', 'Bob Foss', 'Greg Dinner', 'Nick Thiel']",6.7,N/A,70%,3 nominations.
Wild Hearts Can't Be Broken,1991-05-24,88,United States,"$7,294,835",Steve Miner,Matt Williams,"['Written by', 'Matt Williams', 'Oley Sassone']",7.3,N/A,73%,N/A
The Rocketeer,1991-06-21,108,United States,"$46,704,056",Joe Johnston,"['Charles Gordon', 'Lawrence Gordon', 'Lloyd Levin']",,6.5,61,66%,1 win & 6 nominations.
Beauty and the Beast,1991-09-29,84,United States,"$218,967,620","['Gary Trousdale', 'Kirk Wise']",Don Hahn,,8.0,95,94%,Won 2 Oscars. Another 26 wins & 32 nominations.
Newsies,1992-04-10,121,United States,"$2,819,485",Kenny Ortega,Michael Finnell,"['Bob Tzudiker', 'Noni White']",7.0,46,39%,1 win & 6 nominations.
"Honey, I Blew Up the Kid",1992-07-17,89,United States,"$58,662,452",Randal Kleiser,"['Produced by', 'Dawn Steel', 'Edward S. Feldman']",,4.9,50,40%,10 nominations.
The Mighty Ducks,1992-10-02,104,United States,"$50,752,337",Stephen Herek,"['Jon Avnet', 'Jordan Kerner']",Steven Brill,6.6,46,23%,2 nominations.
Aladdin,1992-11-25,90,United States,"$217,350,219","['John Musker', 'Ron Clements']","['John Musker', 'Ron Clements']",,8.0,86,95%,Won 2 Oscars. Another 31 wins & 22 nominations.
The Muppet Christmas Carol,1992-12-11,86,United States,"$27,381,507",Brian Henson,"['Brian Henson', 'Martin G. Baker']",,7.7,64,76%,2 wins & 1 nomination.
Homeward Bound: The Incredible Journey,1993-02-03,84,United States,"$41,833,324",Duwayne Dunham,"['Produced by', 'Jeffrey Chernov', 'Franklin R. Levy']","['Written by', 'Caroline Thompson', 'Linda Woolverton', 'Jonathan Roberts', '(', ')']",7.0,N/A,87%,1 nomination.
A Far Off Place,1993-03-12,108,United States,"$12,890,752",Mikael Salomon,"['Produced by', 'Eva Monley', 'Elaine Sperber']",,6.6,N/A,45%,N/A
The Adventures of Huck Finn,1993-04-02,107,United States,"$24,103,594",Stephen Sommers,"['Produced by', 'John Baldecchi', 'Steve White']",,6.2,N/A,73%,N/A
Hocus Pocus,1993-07-16,96,United States,"$44,342,713",Kenny Ortega,"['David Kirschner', 'Steven Haft']",,6.9,43,38%,2 wins & 11 nominations.
Cool Runnings,1993-10-01,98,United States,"$68,856,263",Jon Turteltaub,"['Dawn Steel', 'Susan B. Landau', 'Jeffrey Bydalek']",,7.0,60,76%,2 wins & 2 nominations.
The Three Musketeers,1993-11-12,105,,"$20,374,484",Stephen Herek,"['Produced by', 'Roger Birnbaum', 'Joe Roth']",,5.7,35,26%,5 nominations.
Iron Will,1994-01-14,108,United States,"$21,006,361",Charles Haid,"['Produced by', 'Patrick J. Palmer', 'James Ployhar', 'Robert Schwartz', 'George Zepp']","['Written by', 'John Michael Hayes', 'Djordje Milicevic', 'Jeff Arch']",6.6,56,62%,N/A
Blank Check,1994-02-11,94,United States,"$30,577,969",Rupert Wainwright,"['Produced by', 'Gary Adelson', 'Craig Baumgarten', 'Tony Shimkin']","['Written by', 'Blake Snyder', 'Colby Carr']",5.3,42,9%,N/A
D2: The Mighty Ducks,1994-03-25,106,United States,"$45,610,410",Sam Weisman,"['Produced by', 'Jon Avnet', 'Jordan Kerner']",Steven Brill,6.1,N/A,20%,N/A
White Fang 2: Myth of the White Wolf,1994-04-15,102,United States,"$8,878,839",Ken Olin,Preston Fischer,David Fallon,5.5,N/A,71%,N/A
The Lion King,1994-06-15,88,United States,"$422,783,777","['Roger Allers', 'Rob Minkoff']",Don Hahn,,8.5,88,93%,Won 2 Oscars. Another 36 wins & 35 nominations.
Angels in the Outfield,1994-07-15,102,United States,"$50,236,831",William Dear,"['Produced by', 'Irby Smith', 'Joe Roth', 'Roger Birnbaum']",,6.2,44,33%,1 win & 4 nominations.
Squanto: A Warrior's Tale,1994-10-28,102,,"$3,342,223",Xavier Koller,Kathryn F. Galan,Darlene Craviotto,6.0,N/A,60%,N/A
The Santa Clause,1994-11-11,97,United States,"$145,539,357",John Pasquin,"['Produced by', 'Robert Newmyer', 'Brian Reilly', 'Jeffrey Silver']","['Written by', 'Leo Benvenuti', 'Steve Rudnick']",6.5,57,72%,2 wins & 8 nominations.
Rudyard Kipling's The Jungle Book,1994-12-25,111,United States,N/A,Stephen Sommers,"['Produced by', 'Edward S. Feldman', 'Raju Patel']",,7.1,N/A,,N/A
Heavyweights,1995-02-17,100,United States,"$17,689,177",Steven Brill,"['Produced by', 'Roger Birnbaum', 'Joe Roth', 'Morgan Michael Fottrell', 'Charles J.D. Schlissel', 'Jack Giarraputo']","['Written by', 'Steven Brill', 'Judd Apatow']",6.7,42,29%,N/A
Man of the House,1995-03-03,96,United States,"$19,699,706",James Orr,"['Produced by', 'Bonnie Bruckheimer', 'Marty Katz']",,5.4,35,9%,N/A
Tall Tale,1995-03-24,98,United States,"$8,247,627",Jeremiah S. Chechik,"['Produced by', 'Roger Birnbaum', 'Joe Roth']","['Written by', 'Steven L. Bloom', 'Robert Rodat']",5.9,N/A,50%,N/A
A Goofy Movie,1995-04-07,78,,"$35,348,597",Kevin Lima,Dan Rounds,,6.9,N/A,58%,5 nominations.
Pocahontas,1995-06-10,81,United States,"$141,579,773","['Mike Gabriel', 'Eric Goldberg']",Jim Pentecost,,6.7,58,55%,Won 2 Oscars. Another 13 wins & 7 nominations.
Operation Dumbo Drop,1995-07-28,108,,"$24,670,346",Simon Wincer,"['Produced by', 'Diane Nabatoff', 'David Madden']",,5.1,48,31%,N/A
A Kid in King Arthur's Court,1995-08-11,89,,"$13,406,717",Michael Gottlieb,"['Produced by', 'Peter Abrams', 'J.P. Guerin', 'Robert L. Levy']","['Written by', 'Michael Part', 'Robert L. Levy']",4.7,34,5%,1 nomination.
The Big Green,1995-09-29,99,United States,"$17,736,619",Holly Goldberg Sloan,"['Produced by', 'Dennis Bishop', 'Roger Birnbaum']",Holly Goldberg Sloan,5.6,N/A,0%,N/A
Frank and Ollie,1995-01-22,89,United States,N/A,Theodore Thomas,"['Produced by', 'Kuniko Okubo', 'Theodore Thomas']",Theodore Thomas,7.7,N/A,88%,1 win.
Toy Story,1995-11-19,81,United States,"$223,225,679",John Lasseter,"['Bonnie Arnold', 'Ralph Guggenheim']",,8.3,95,100%,Nominated for 3 Oscars. Another 27 wins & 20 nominations.
Tom and Huck,1995-12-22,92,United States,"$23,920,048",Peter Hewitt,"['Produced by', 'Laurence Mark', 'Stephen Sommers']",,5.5,N/A,25%,1 win & 5 nominations.
Muppet Treasure Island,1996-02-16,100,United States,"$34,327,391",Brian Henson,"['Martin G. Baker', 'Brian Henson']",,7.0,64,70%,5 nominations.
Homeward Bound II:Lost in San Francisco,1996-03-08,89,United States,"$32,772,492",David R. Ellis,Barry Jossen,"['Written by', 'Chris Hauty', 'Julie Hickson']",6.0,N/A,53%,3 nominations.
James and the Giant Peach,1996-04-12,79,,"$28,946,127",Henry Selick,"['Produced by', 'Denise Di Novi', 'Tim Burton']",,6.7,78,91%,Nominated for 1 Oscar. Another 4 wins & 12 nominations.
The Hunchback of Notre Dame,1996-06-21,91,United States,"$100,138,851","['Gary Trousdale', 'Kirk Wise']",Don Hahn,,6.9,74,71%,Nominated for 1 Oscar. Another 8 wins & 25 nominations.
First Kid,1996-08-30,101,United States,"$26,491,793",David M. Evans,Roger Birnbaum,Tim Kelleher,5.3,48,20%,1 nomination.
D3: The Mighty Ducks,1996-10-04,104,United States,"$22,955,097",Robert Lieberman,"['Produced by', 'Jordan Kerner', 'Jon Avnet']",,5.5,N/A,20%,2 nominations.
101 Dalmatians,1996-11-27,103,United States,"$136,189,294",Stephen Herek,"['John Hughes', 'Ricardo Mestres']",,5.7,49,41%,Nominated for 1 Golden Globe. Another 3 wins & 9 nominations.
That Darn Cat,1997-02-14,86,United States,"$18,301,610",Bob Spiers,Robert Simonds,,4.7,36,13%,2 nominations.
