title,Release_date,Running_time,Country,Box office,Directed by,Produced by,Written by,imdb,metascore,rotten_tomatoes,Awards
Jagga Jasoos,2017-07-14,162,India,"$861,740",Anurag Basu,"['Produced by', 'Siddharth Roy Kapur', 'Anurag Basu', 'Ranbir Kapoor']","['Written by', 'Screenplay:', 'Anurag Basu', 'Dialogues in Rhyme:', 'Amitabh Bhattacharya', 'Anurag Basu', 'Devesh Kapoor', 'Samrat Chakraborty', 'Debatma Mandal', 'Dialogues:', 'Samrat Chakraborty']",6.5,N/A,83%,11 wins & 17 nominations.
Coco,2017-10-20,105,United States,"$210,460,015",Lee Unkrich,Darla K. Anderson,,8.4,81,97%,Won 2 Oscars. Another 109 wins & 39 nominations.
A Wrinkle in Time,2018-02-26,109,United States,"$100,478,608",Ava DuVernay,"['Jim Whitaker', 'Catherine Hand']",,4.2,53,42%,5 wins & 20 nominations.
Incredibles 2,2018-06-05,118,United States,"$608,581,744",Brad Bird,"['John Walker', 'Nicole Paradis Grindle']",Brad Bird,7.6,80,93%,Nominated for 1 Oscar. Another 12 wins & 75 nominations.
Christopher Robin,2018-07-30,104,United States,"$99,215,042",Marc Forster,"['Brigham Taylor', 'Kristin Burr']",,7.3,60,,Nominated for 1 Oscar. Another 2 wins & 11 nominations.
The Nutcracker and the Four Realms,2018-10-29,99,United States,"$54,858,851","['Lasse Hallström', 'Joe Johnston']","['Mark Gordon', 'Larry Franco']",Ashleigh Powell,5.6,39,32%,1 win & 8 nominations.
Ralph Breaks the Internet,2018-11-05,112,United States,"$201,091,711","['Rich Moore', 'Phil Johnston']",Clark Spencer,,7.0,71,88%,Nominated for 1 Oscar. Another 3 wins & 66 nominations.
Mary Poppins Returns,2018-11-29,131,United States,"$171,958,438",Rob Marshall,"['Rob Marshall', 'John DeLuca', 'Marc Platt']",,6.7,66,79%,Nominated for 4 Oscars. Another 22 wins & 103 nominations.
Dumbo,2019-03-11,112,United States,N/A,Tim Burton,"['Justin Springer', 'Ehren Kruger', 'Katterli Frauenfelder', 'Derek Frey']",,7.2,96,98%,Won 1 Oscar. Another 4 wins & 1 nomination.
Penguins,2019-04-17,76,United States,"$7,699,452","['Alastair Fothergill', 'Jeff Wilson']","['Alastair Fothergill', 'Keith Scholey', 'Roy Conli', 'Jeff Wilson']",David Fowler,7.1,69,92%,1 win & 1 nomination.
Aladdin,2019-05-08,128,United States,"$217,350,219",Guy Ritchie,"['Dan Lin', 'Jonathan Eirich']",,8.0,86,95%,Won 2 Oscars. Another 31 wins & 22 nominations.
Toy Story 4,2019-06-11,100,United States,"$434,038,008",Josh Cooley,"['Mark Nielsen', 'Jonas Rivera']",,7.8,84,97%,Won 1 Oscar. Another 55 wins & 62 nominations.
The Lion King,2019-07-09,118,,"$422,783,777",Jon Favreau,"['Jon Favreau', 'Jeffrey Silver', 'Karen Gilchrist']",,8.5,88,93%,Won 2 Oscars. Another 36 wins & 35 nominations.
Maleficent: Mistress of Evil,2019-10-18,119,United States,"$113,929,605",Joachim Rønning,"['Joe Roth', 'Angelina Jolie', 'Duncan Henderson']","['Linda Woolverton', 'Noah Harpster', 'Micah Fitzerman-Blue']",6.6,43,39%,Nominated for 1 Oscar. Another 1 win & 10 nominations.
Lady and the Tramp,2019-11-12,104,United States,"$93,602,326",Charlie Bean,Brigham Taylor,,7.3,78,93%,Nominated for 1 BAFTA Film Award. Another 1 win & 1 nomination.
Noelle,2019-11-12,100,United States,N/A,Marc Lawrence,Suzanne Todd,Marc Lawrence,6.3,48,,N/A
Frozen II,2019-11-07,103,United States,"$477,373,578","['Chris Buck', 'Jennifer Lee']",Peter Del Vecho,,6.9,64,78%,Nominated for 1 Oscar. Another 18 wins & 88 nominations.
Togo,2019-12-20,114,United States,N/A,Ericson Core,Kim Zubick,Tom Flynn,8.0,69,,1 win & 4 nominations.
Timmy Failure: Mistakes Were Made,2020-01-25,99,United States,N/A,Tom McCarthy,"['Alexander Dostal', 'Tom McCarthy', 'Jim Whitaker']",,6.1,60,,3 nominations.
Onward,2020-02-21,102,United States,"$61,555,145",Dan Scanlon,Kori Rae,"['Dan Scanlon', 'Jason Headley', 'Keith Bunin']",7.4,61,88%,Nominated for 1 Golden Globe. Another 3 wins & 59 nominations.
Stargirl,2020-03-13,107,United States,,Julia Hart,"['Produced by', 'Kristin Hahn', 'Ellen Goldsmith-Vein', 'Lee Stollman', 'Jordan Horowitz']",,7.3,N/A,,3 nominations.
Dolphin Reef,2018-03-28,78,United States,N/A,"['Alastair Fothergill', 'Keith Scholey']","['Alastair Fothergill', 'Keith Scholey', 'Roy Conli']",David Fowler,7.5,79,,N/A
Elephant,2020-04-03,89,United States,"$1,266,955","['Mark Linfield', 'Vanessa Berlowitz']","['Mark Linfield', 'Vanessa Berlowitz', 'Roy Conli']",,7.2,70,73%,8 wins & 13 nominations.
Artemis Fowl,2020-06-12,95,United States,N/A,Kenneth Branagh,"['Kenneth Branagh', 'Judy Hofflund']",,4.2,31,8%,1 nomination.
Hamilton,2020-07-03,160,United States,N/A,Thomas Kail,"['Thomas Kail', 'Lin-Manuel Miranda', 'Jeffrey Seller']",Lin-Manuel Miranda,8.5,90,,Nominated for 2 Golden Globes. Another 5 wins & 20 nominations.
Black Is King,2020-07-31,85,United States,N/A,"['Beyoncé Knowles-Carter', 'Kwasi Fordjour', 'Emmanuel Adjei', 'Blitz Bazawule', 'Ibra Ake', 'Jenn Nkiru', 'Jake Nava', 'Pierre Debusschere', 'Dikayl Rimmasch', 'Dafe Oboro']","['Jeremy Sullivan', 'Jimi Adesanya', 'Blitz Bazawule', 'Ben Cooper', 'Astrid Edwards', 'Durwin Julies', 'Yoli Mes', 'Dafe Oboro', 'Akin Omotoso', 'Will Whitney', 'Lauren Baker', 'Jason Baum', 'Alex Chamberlain', 'Robert Day', 'Christophe Faubert', 'Brien Justiniano', 'Rethabile Molatela Mothobi', 'Sylvia Zakhary', 'Nathan Scherrer', 'Erinn Williams']","['Beyoncé Knowles-Carter', 'Yrsa Daley-Ward', 'Clover Hope', 'Andrew Morrow']",5.5,84,,3 nominations.
Magic Camp,2020-08-14,100,United States,N/A,Mark Waters,['Suzanne Todd'],,6.3,N/A,,N/A
The One and Only Ivan,2020-08-21,95,United States,N/A,Thea Sharrock,"['Angelina Jolie', 'Allison Shearmur', 'Brigham Taylor']",,6.7,58,,Nominated for 1 Oscar. Another 1 win & 4 nominations.
Mulan,2020-03-09,115,United States,"$120,620,254",Niki Caro,"['Chris Bender', 'Jake Weiner', 'Jason T. Reed']",,7.6,71,86%,Nominated for 1 Oscar. Another 17 wins & 20 nominations.
Godmothered,2020-12-04,113,United States,N/A,Sharon Maguire,Justin Springer,,6.1,49,,1 win & 2 nominations.
Safety,2020-12-11,119,United States,N/A,Reginald Hudlin,"['Produced by', 'Mark Ciardi', 'Gordon Gray']",Nick Santora,6.8,55,,2 nominations.
Soul,2020-10-11,101,United States,N/A,Pete Docter,Dana Murray,"['Pete Docter', 'Mike Jones', 'Kemp Powers']",8.1,83,,Nominated for 3 Oscars. Another 82 wins & 115 nominations.
Flora & Ulysses,2021-02-19,95,United States,N/A,Lena Khan,Gil Netter,,6.3,62,,N/A
Raya and the Last Dragon,2021-03-03,107,United States,"$30,932,920","['Don Hall', 'Carlos López Estrada']","['Osnat Shurer', 'Peter Del Vecho']",,7.5,75,,N/A
Cruella,2021-05-28,,United States,N/A,Craig Gillespie,"['Andrew Gunn', 'Marc Platt', 'Kristin Burr']",,N/A,N/A,,N/A
Luca,2021-06-18,,United States,N/A,Enrico Casarosa,Andrea Warren,"['Mike Jones', 'Jesse Andrews']",7.4,N/A,,N/A
Jungle Cruise,2021-07-30,,United States,N/A,Jaume Collet-Serra,"['John Davis', 'John Fox', 'Beau Flynn', 'Dwayne Johnson', 'Dany Garcia', 'Hiram Garcia']",,N/A,N/A,,N/A
The Beatles: Get Back,2021-08-27,,,N/A,Peter Jackson,"['Peter Jackson', 'Clare Olssen', 'Jonathan Clyde']",,8.0,N/A,,N/A
Encanto,2021-11-24,,United States,N/A,"['Byron Howard', 'Jared Bush']","['Clark Spencer', 'Yvett Merino Flores']","['Jared Bush', 'Charise Castro Smith']",N/A,N/A,,N/A
Peter Pan & Wendy,1905-07-14,,United States,N/A,David Lowery,"['Jim Whitaker', 'Joe Roth']",,N/A,N/A,,N/A
The Little Mermaid,,,United States,"$111,543,479",Rob Marshall,"['Rob Marshall', 'John DeLuca', 'Marc Platt', 'Lin-Manuel Miranda']",,7.6,88,93%,Won 2 Oscars. Another 10 wins & 8 nominations.
Shrunk,,,United States,N/A,,"['David Hoberman', 'Todd Lieberman']",,N/A,N/A,,N/A
Chip 'n Dale: Rescue Rangers,,,United States,,Akiva Schaffer,"['David Hoberman', 'Todd Lieberman']",,7.6,N/A,,1 nomination.
Enchanted,2007-10-20,107,United States,"$127,807,262",Kevin Lima,"['Barry Josephson', 'Barry Sonnenfeld']",Bill Kelly,7.0,75,93%,Nominated for 3 Oscars. Another 12 wins & 48 nominations.
Pinocchio,,,United States,"$84,254,167",Robert Zemeckis,"['Chris Weitz', 'Andrew Milano']",,7.4,99,73%,Won 2 Oscars. Another 4 wins.
